Date;Close;Volume;Dividends
2024-06-05 00:00:00-0300;4.210245132446289;230030;0.0
2024-06-06 00:00:00-0300;4.230417251586914;188500;0.0
2024-06-07 00:00:00-0300;4.207363605499268;141340;0.0
2024-06-10 00:00:00-0300;4.195836544036865;202670;0.0
2024-06-11 00:00:00-0300;4.149728298187256;142100;0.0
2024-06-12 00:00:00-0300;4.1284027099609375;100160;0.0
2024-06-13 00:00:00-0300;4.101314544677734;168350;0.0
2024-06-14 00:00:00-0300;4.126673221588135;174250;0.0
2024-06-17 00:00:00-0300;4.054629325866699;396240;0.0
2024-06-18 00:00:00-0300;4.1382012367248535;296020;0.0
2024-06-19 00:00:00-0300;4.098433494567871;139810;0.0
2024-06-20 00:00:00-0300;4.092092990875244;154180;0.0
2024-06-21 00:00:00-0300;4.092092990875244;232420;0.0
2024-06-24 00:00:00-0300;4.083446979522705;220090;0.0
2024-06-25 00:00:00-0300;4.0488667488098145;230250;0.0
2024-06-26 00:00:00-0300;4.043103218078613;190110;0.0
2024-06-27 00:00:00-0300;4.063275337219238;244220;0.0
2024-06-28 00:00:00-0300;4.092092990875244;329470;0.0
2024-07-01 00:00:00-0300;4.093837261199951;357980;0.063
2024-07-02 00:00:00-0300;4.075229167938232;381940;0.0
2024-07-03 00:00:00-0300;4.06825065612793;166000;0.0
2024-07-04 00:00:00-0300;4.073484420776367;483190;0.0
2024-07-05 00:00:00-0300;4.094418525695801;142150;0.0
2024-07-08 00:00:00-0300;4.094418525695801;303800;0.0
2024-07-09 00:00:00-0300;4.09092903137207;95430;0.0
2024-07-10 00:00:00-0300;4.09092903137207;181960;0.0
2024-07-11 00:00:00-0300;4.096745491027832;130730;0.0
2024-07-12 00:00:00-0300;4.10430383682251;277950;0.0
2024-07-15 00:00:00-0300;4.105467319488525;143130;0.0
2024-07-16 00:00:00-0300;4.09499979019165;176060;0.0
2024-07-17 00:00:00-0300;4.134542942047119;294380;0.0
2024-07-18 00:00:00-0300;4.134542942047119;149790;0.0
2024-07-19 00:00:00-0300;4.128146648406982;3038020;0.0
2024-07-22 00:00:00-0300;4.172341346740723;240330;0.0
2024-07-23 00:00:00-0300;4.143266201019287;138710;0.0
2024-07-24 00:00:00-0300;4.12872838973999;143180;0.0
2024-07-25 00:00:00-0300;4.140357971191406;117240;0.0
2024-07-26 00:00:00-0300;4.12872838973999;163650;0.0
2024-07-29 00:00:00-0300;4.093837261199951;163170;0.0
2024-07-30 00:00:00-0300;4.093837261199951;153650;0.0
2024-07-31 00:00:00-0300;4.140357971191406;123510;0.0
2024-08-01 00:00:00-0300;4.481666564941406;96420;0.63
2024-08-02 00:00:00-0300;4.484856605529785;136800;0.0
2024-08-05 00:00:00-0300;4.467631816864014;170060;0.0
2024-08-06 00:00:00-0300;4.403197765350342;256790;0.0
2024-08-07 00:00:00-0300;4.413405418395996;114150;0.0
2024-08-08 00:00:00-0300;4.431906223297119;136300;0.0
2024-08-09 00:00:00-0300;4.409577369689941;185280;0.0
2024-08-12 00:00:00-0300;4.433819770812988;192450;0.0
2024-08-13 00:00:00-0300;4.433819770812988;79320;0.0
2024-08-14 00:00:00-0300;4.465717792510986;151290;0.0
2024-08-15 00:00:00-0300;4.465717792510986;220600;0.0
2024-08-16 00:00:00-0300;4.488045692443848;239900;0.0
2024-08-19 00:00:00-0300;4.480391025543213;123340;0.0
2024-08-20 00:00:00-0300;4.465717792510986;130660;0.0
2024-08-21 00:00:00-0300;4.4114909172058105;3607940;0.0
2024-08-22 00:00:00-0300;4.426801681518555;182140;0.0
2024-08-23 00:00:00-0300;4.465717792510986;268290;0.0
2024-08-26 00:00:00-0300;4.465717792510986;119800;0.0
2024-08-27 00:00:00-0300;4.4548726081848145;83620;0.0
2024-08-28 00:00:00-0300;4.4465789794921875;219090;0.0
