Date;Close;Volume;Dividends
2024-06-05 00:00:00-0300;11.247570037841797;12868900;0.0
2024-06-06 00:00:00-0300;11.675135612487793;18613430;0.0
2024-06-07 00:00:00-0300;11.49189281463623;13069320;0.0
2024-06-10 00:00:00-0300;11.134135246276855;11565180;0.0
2024-06-11 00:00:00-0300;11.317376136779785;9389160;0.0
2024-06-12 00:00:00-0300;11.14285945892334;16835720;0.0
2024-06-13 00:00:00-0300;10.985795021057129;12534830;0.0
2024-06-14 00:00:00-0300;11.160311698913574;15550700;0.0
2024-06-17 00:00:00-0300;10.837456703186035;9047610;0.0
2024-06-18 00:00:00-0300;10.785101890563965;9747210;0.0
2024-06-19 00:00:00-0300;11.020699501037598;11989010;0.0
2024-06-20 00:00:00-0300;10.915989875793457;20031880;0.0
2024-06-21 00:00:00-0300;10.933441162109375;23261920;0.0
2024-06-24 00:00:00-0300;11.125409126281738;11149820;0.0
2024-06-25 00:00:00-0300;11.046875953674316;10834340;0.0
2024-06-26 00:00:00-0300;10.707555770874023;23788930;0.141745
2024-06-27 00:00:00-0300;11.122782707214355;30476820;0.0
2024-06-28 00:00:00-0300;11.025602340698242;16422890;0.0
2024-07-01 00:00:00-0300;11.007932662963867;9313150;0.0
2024-07-02 00:00:00-0300;10.742895126342773;14627030;0.0
2024-07-03 00:00:00-0300;10.981430053710938;23291840;0.0
2024-07-04 00:00:00-0300;11.688199043273926;21654160;0.0
2024-07-05 00:00:00-0300;11.79421329498291;17301350;0.0
2024-07-08 00:00:00-0300;11.573348045349121;21202170;0.0
2024-07-09 00:00:00-0300;11.697032928466797;12073270;0.0
2024-07-10 00:00:00-0300;11.750041007995605;17702630;0.0
2024-07-11 00:00:00-0300;12.112260818481445;13706220;0.0
2024-07-12 00:00:00-0300;11.970906257629395;12005950;0.0
2024-07-15 00:00:00-0300;12.138763427734375;10505330;0.0
2024-07-16 00:00:00-0300;12.121094703674316;12657920;0.0
2024-07-17 00:00:00-0300;12.059252738952637;9524790;0.0
2024-07-18 00:00:00-0300;11.626357078552246;13343000;0.0
2024-07-19 00:00:00-0300;11.529175758361816;10479370;0.0
2024-07-22 00:00:00-0300;11.970906257629395;14295600;0.0
2024-07-23 00:00:00-0300;11.644025802612305;10146180;0.0
2024-07-24 00:00:00-0300;11.370152473449707;15005100;0.0
2024-07-25 00:00:00-0300;11.644025802612305;28553910;0.0
2024-07-26 00:00:00-0300;11.776544570922852;13992770;0.0
2024-07-29 00:00:00-0300;11.935568809509277;20845770;0.0
2024-07-30 00:00:00-0300;11.511507034301758;29031860;0.0
2024-07-31 00:00:00-0300;11.714702606201172;14106400;0.0
